st,customer lifetime value,response,coverage,education,effective to date,employmentstatus,gender,income,location code,marital status,monthly premium auto,months since last claim,months since policy inception,number of open complaints,number of policies,policy type,policy,renew offer type,sales channel,total claim amount,vehicle class,vehicle size,vehicle type,zone
arizona,4809.21696,no,basic,college,2/18/11,employed,m,48029,suburban,married,61,7.0,52,0.0,9,corporate auto,corporate l3,offer3,agent,292.8,four-door car,medsize,,central
washington,14947.9173,no,basic,bachelor,2/10/11,employed,m,22139,suburban,single,100,34.0,31,0.0,2,personal auto,personal l3,offer3,call center,480.0,suv,medsize,a,east
oregon,22332.43946,yes,extended,college,1/11/11,employed,m,49078,suburban,single,97,10.0,3,0.0,2,corporate auto,corporate l3,offer2,branch,484.013411,four-door car,medsize,a,north west
oregon,9025.067525,no,premium,bachelor,1/17/11,medical leave,f,23675,suburban,married,117,,31,,7,personal auto,personal l2,offer1,branch,707.925645,four-door car,medsize,,north west
,4745.181764,,basic,high school or below,2/14/11,employed,m,50549,suburban,divorced,61,2.0,73,0.0,7,personal auto,personal l3,offer1,agent,292.8,four-door car,medsize,a,
california,5035.035257,no,basic,doctor,2/14/11,employed,f,37405,urban,married,63,8.0,99,3.0,4,corporate auto,corporate l2,offer2,branch,287.556107,four-door car,medsize,,west region
california,4956.247235,no,basic,high school or below,2/24/11,employed,m,87197,urban,single,63,35.0,45,0.0,3,personal auto,personal l2,offer2,branch,247.402353,two-door car,medsize,,west region
california,5989.773931,yes,premium,college,1/19/11,employed,m,66839,suburban,single,154,33.0,24,0.0,1,personal auto,personal l1,offer2,branch,739.2,sports car,medsize,,west region
oregon,17114.32815,no,extended,master,1/4/11,employed,f,70961,suburban,married,85,19.0,8,0.0,2,corporate auto,corporate l3,offer2,agent,408.0,four-door car,small,,north west
arizona,5154.764074,no,extended,high school or below,1/2/11,employed,m,82730,urban,married,127,13.0,31,0.0,1,corporate auto,corporate l3,offer2,branch,442.521087,suv,large,a,central
,2420.711888,,basic,bachelor,2/7/11,employed,m,31710,urban,divorced,62,5.0,29,0.0,1,corporate auto,corporate l3,offer1,call center,199.551735,two-door car,medsize,,
oregon,19955.25713,no,extended,high school or below,1/31/11,employed,f,69096,rural,married,99,24.0,32,0.0,2,corporate auto,corporate l3,offer1,agent,64.669515,four-door car,medsize,,north west
california,5454.587929,no,basic,master,1/26/11,employed,m,66334,suburban,single,69,25.0,25,0.0,4,personal auto,personal l3,offer4,call center,331.2,two-door car,medsize,a,west region
california,4626.801093,yes,basic,master,1/16/11,employed,f,79487,suburban,divorced,114,20.0,87,0.0,1,special auto,special l1,offer2,branch,547.2,suv,medsize,,west region
california,5326.677654,no,basic,high school or below,2/7/11,employed,f,76717,urban,married,66,26.0,10,0.0,6,personal auto,personal l3,offer4,call center,300.528579,two-door car,large,a,west region
california,2736.352663,no,basic,college,2/14/11,disabled,m,17533,suburban,married,73,10.0,1,0.0,1,personal auto,personal l3,offer1,agent,350.4,two-door car,medsize,a,west region
california,3746.751625,yes,extended,college,2/26/11,employed,f,41479,rural,married,94,14.0,38,1.0,1,personal auto,personal l2,offer2,call center,19.575683,two-door car,large,a,west region
oregon,6274.447705,no,extended,high school or below,2/14/11,medical leave,f,13662,suburban,single,85,29.0,37,0.0,3,personal auto,personal l1,offer1,agent,408.0,four-door car,small,,north west
oregon,15031.5645,no,basic,college,1/15/11,employed,f,59456,suburban,married,189,11.0,7,0.0,8,personal auto,personal l3,offer2,call center,907.2,luxury car,large,a,north west
california,5107.071054,no,basic,bachelor,2/2/11,employed,m,70174,rural,married,64,,80,,7,personal auto,personal l2,offer1,agent,128.90032,four-door car,medsize,,west region
